Year,Month,Day,Open,Close,Volume,Range,Close_T1,Close_T2,Close_T3,Return,MovAverage,MovVol
1980,12,17,0.462054,0.462054,21610400,0.002232,0.450893,0.486607,0.513393,0.024753101,0.010505762,0.007295468
1980,12,18,0.475446,0.475446,18362400,0.002233,0.462054,0.450893,0.486607,0.028983625,0.012207303,0.006776446
1980,12,19,0.504464,0.504464,12157600,0.002232,0.475446,0.462054,0.450893,0.061033219,0.009378574,0.005898126
1980,12,22,0.529018,0.529018,9340800,0.002232,0.504464,0.475446,0.462054,0.048673443,0.007405961,0.005163393
1980,12,23,0.551339,0.551339,11737600,0.002232,0.529018,0.504464,0.475446,0.042193271,0.005637676,0.004645692
1980,12,24,0.580357,0.580357,12000800,0.002232,0.551339,0.529018,0.504464,0.052631865,0.003447342,0.004086631
1980,12,26,0.633929,0.633929,13893600,0.002232,0.580357,0.551339,0.529018,0.0923087,0.0002141,0.003708853
1980,12,29,0.642857,0.642857,23290400,0.002232,0.633929,0.580357,0.551339,0.014083596,-0.004550668,0.003299894
1980,12,30,0.629464,0.627232,17220000,0.002232,0.642857,0.633929,0.580357,-0.024305561,-0.006709481,0.003208703
1980,12,31,0.611607,0.609375,8937600,0.002232,0.627232,0.642857,0.633929,-0.02846953,-0.007280161,0.003208062
1981,1,2,0.616071,0.616071,5415200,0.004465,0.609375,0.627232,0.642857,0.010988308,-0.00851464,0.003298604
1981,1,5,0.604911,0.602679,8932000,0.002232,0.616071,0.609375,0.627232,-0.021737754,-0.011777056,0.003506735
1981,1,6,0.578125,0.575893,11289600,0.002232,0.602679,0.616071,0.609375,-0.044444887,-0.008953329,0.003755929
1981,1,7,0.553571,0.551339,13921600,0.002232,0.575893,0.602679,0.616071,-0.042636393,-0.005113155,0.003889095
1981,1,8,0.542411,0.540179,9956800,0.002232,0.551339,0.575893,0.602679,-0.02024163,-0.00308285,0.003898894
1981,1,9,0.569196,0.569196,5376000,0.002233,0.540179,0.551339,0.575893,0.053717379,-0.001911033,0.003790034
1981,1,12,0.569196,0.564732,5924800,0.004464,0.569196,0.540179,0.551339,-0.007842641,-0.006953501,0.003638886
1981,1,13,0.546875,0.544643,5762400,0.002232,0.564732,0.569196,0.540179,-0.035572626,-0.006580042,0.003669852
1981,1,14,0.546875,0.546875,3572800,0.002232,0.544643,0.564732,0.569196,0.004098097,-0.00641516,0.003654737
1981,1,15,0.558036,0.558036,3516800,0.004464,0.546875,0.544643,0.564732,0.020408686,-0.007061644,0.003637625
1981,1,16,0.555804,0.553571,3348800,0.002233,0.558036,0.546875,0.544643,-0.008001276,-0.009172727,0.003693424
1981,1,19,0.587054,0.587054,10393600,0.002232,0.553571,0.558036,0.546875,0.060485466,-0.00762455,0.003941975
1981,1,20,0.571429,0.569196,7520800,0.002233,0.587054,0.553571,0.558036,-0.030419689,-0.008454259,0.004301654
1981,1,21,0.580357,0.580357,3976000,0.004464,0.569196,0.587054,0.553571,0.01960836,-0.009845385,0.00442814
1981,1,22,0.587054,0.587054,8887200,0.004464,0.580357,0.569196,0.587054,0.011539449,-0.013334227,0.004707866
1981,1,23,0.587054,0.584821,2805600,0.004465,0.587054,0.580357,0.569196,-0.003803739,-0.013147395,0.005112146
1981,1,26,0.578125,0.575893,6160000,0.002232,0.584821,0.587054,0.580357,-0.01526621,-0.014658313,0.00526038
1981,1,27,0.575893,0.571429,5924800,0.004464,0.575893,0.584821,0.587054,-0.00775144,-0.010923799,0.005190186
1981,1,28,0.555804,0.553571,7039200,0.002233,0.571429,0.575893,0.584821,-0.031251477,-0.009847514,0.005044319
1981,1,29,0.535714,0.533482,10976000,0.002232,0.553571,0.571429,0.575893,-0.036289835,-0.006733332,0.004835238
1981,1,30,0.508929,0.504464,11547200,0.004465,0.533482,0.553571,0.571429,-0.054393588,-0.00478064,0.004754607
1981,2,2,0.477679,0.475446,5941600,0.002233,0.504464,0.533482,0.553571,-0.05752244,-0.002861118,0.004733929
1981,2,3,0.493304,0.493304,4788000,0.002232,0.475446,0.504464,0.533482,0.037560522,-0.00057544,0.004735385
1981,2,4,0.511161,0.511161,6966400,0.002232,0.493304,0.475446,0.504464,0.036198774,-0.002592959,0.004798483
1981,2,5,0.511161,0.511161,1982400,0.004464,0.511161,0.493304,0.475446,0,-0.004776871,0.004894678
1981,2,6,0.513393,0.513393,3466400,0.002232,0.511161,0.511161,0.493304,0.00436653,-0.008493452,0.004927875
1981,2,9,0.491071,0.486607,4188800,0.004464,0.513393,0.511161,0.511161,-0.052174455,-0.010968923,0.004905735
1981,2,10,0.486607,0.486607,4586400,0.002232,0.486607,0.513393,0.511161,0,-0.010336276,0.004924477
1981,2,11,0.473214,0.470982,3460800,0.002232,0.486607,0.486607,0.513393,-0.032110101,-0.008409495,0.005094045
1981,2,12,0.46875,0.466518,3640000,0.002232,0.470982,0.486607,0.486607,-0.009478069,-0.007409628,0.005112391
1981,2,13,0.459821,0.455357,2788800,0.004464,0.466518,0.470982,0.486607,-0.02392405,-0.00508563,0.005105545
1981,2,17,0.466518,0.466518,3068800,0.002232,0.455357,0.466518,0.470982,0.024510439,-0.001629702,0.005019745
1981,2,18,0.486607,0.486607,4810400,0.004464,0.466518,0.455357,0.466518,0.043061575,0.000148562,0.004911091
1981,2,19,0.459821,0.457589,5577600,0.002232,0.486607,0.466518,0.455357,-0.059633339,-0.002364281,0.004952051
1981,2,20,0.435268,0.433036,6092800,0.002232,0.457589,0.486607,0.466518,-0.053657321,0.000942225,0.004811519
1981,2,23,0.439732,0.439732,3528000,0.002232,0.433036,0.457589,0.486607,0.015462918,0.00534671,0.004775706
1981,2,24,0.428571,0.424107,4244800,0.004464,0.439732,0.433036,0.457589,-0.035533006,0.004387776,0.004759585
1981,2,25,0.450893,0.450893,4872000,0.002232,0.424107,0.439732,0.433036,0.06315859,0.005185626,0.004768235
1981,2,26,0.457589,0.457589,2710400,0.002232,0.450893,0.424107,0.439732,0.01485053,0.001266661,0.004775598
1981,2,27,0.473214,0.473214,3690400,0.004465,0.457589,0.450893,0.424107,0.034146363,-0.001066524,0.004773299
1981,3,2,0.475446,0.475446,2940000,0.002233,0.473214,0.457589,0.450893,0.004716682,-0.002692541,0.004679421
1981,3,3,0.470982,0.46875,4043200,0.002232,0.475446,0.473214,0.457589,-0.014083618,-0.003398115,0.004419293
1981,3,4,0.466518,0.464286,3427200,0.002232,0.46875,0.475446,0.473214,-0.0095232,-0.003213344,0.004055598
1981,3,5,0.464286,0.462054,1344000,0.002232,0.464286,0.46875,0.475446,-0.004807382,0.001412895,0.003614072
1981,3,6,0.462054,0.457589,2900800,0.004465,0.462054,0.464286,0.46875,-0.009663373,0.001867486,0.003511997
1981,3,9,0.424107,0.421875,3830400,0.002232,0.457589,0.462054,0.464286,-0.078048205,0.001429231,0.003446935
1981,3,10,0.404018,0.401786,7095200,0.002232,0.421875,0.457589,0.462054,-0.04761837,0.004687864,0.003367247
1981,3,11,0.390625,0.386161,7464800,0.004464,0.401786,0.421875,0.457589,-0.038888861,0.009267071,0.003383727
1981,3,12,0.401786,0.401786,14812000,0.002232,0.386161,0.401786,0.421875,0.040462398,0.012000699,0.003389085
1981,3,13,0.399554,0.397321,57825600,0.002233,0.401786,0.386161,0.401786,-0.011112881,0.010723324,0.003246991
1981,3,16,0.412946,0.412946,9307200,0.004465,0.397321,0.401786,0.386161,0.039325885,0.011252509,0.003180372
1981,3,17,0.433036,0.433036,10936800,0.004464,0.412946,0.397321,0.401786,0.048650429,0.009379848,0.002968453
1981,3,18,0.459821,0.459821,9234400,0.004465,0.433036,0.412946,0.397321,0.06185398,0.004714199,0.002901455
1981,3,19,0.457589,0.455357,9452800,0.002232,0.459821,0.433036,0.412946,-0.009708126,-0.000926576,0.002897858
1981,3,20,0.459821,0.459821,3651200,0.004465,0.455357,0.459821,0.433036,0.009803297,0.000964194,0.00277554
1981,3,23,0.477679,0.477679,5504800,0.004464,0.459821,0.455357,0.459821,0.038836852,0.003733619,0.00271126
1981,3,24,0.477679,0.475446,7039200,0.002233,0.477679,0.459821,0.455357,-0.004674687,0.003615932,0.002747307
1981,3,25,0.470982,0.466518,1764000,0.004464,0.475446,0.477679,0.459821,-0.018778158,0.005091588,0.002754945
1981,3,26,0.459821,0.457589,3068800,0.002232,0.466518,0.475446,0.477679,-0.019139669,0.005578811,0.002732165
1981,3,27,0.444196,0.441964,3063200,0.002232,0.457589,0.466518,0.475446,-0.034146363,0.006079741,0.002690848
1981,3,30,0.441964,0.441964,2475200,0.004465,0.441964,0.457589,0.466518,0,0.006877561,0.002735769
1981,3,31,0.441964,0.4375,3998400,0.004464,0.441964,0.441964,0.457589,-0.01010037,0.00624549,0.002793095
1981,4,1,0.435268,0.433036,8517600,0.002232,0.4375,0.441964,0.441964,-0.010203429,0.007580559,0.002945741
1981,4,2,0.470982,0.470982,7851200,0.002232,0.433036,0.4375,0.441964,0.087627818,0.008066436,0.002951215
1981,4,3,0.473214,0.473214,4121600,0.002232,0.470982,0.433036,0.4375,0.004739035,0.003683921,0.002799404
1981,4,6,0.466518,0.464286,5700800,0.002232,0.473214,0.470982,0.433036,-0.018866728,0.003247562,0.002836127
1981,4,7,0.462054,0.459821,2671200,0.002233,0.464286,0.473214,0.470982,-0.009616917,0.002876122,0.002917024
1981,4,8,0.482143,0.482143,5488000,0.004464,0.459821,0.464286,0.473214,0.048544977,0.003986443,0.00300829
1981,4,9,0.491071,0.491071,3124800,0.002233,0.482143,0.459821,0.464286,0.018517328,0.00210375,0.003015684
1981,4,10,0.497768,0.497768,8366400,0.002232,0.491071,0.482143,0.459821,0.013637539,0.00015902,0.003001084
1981,4,13,0.497768,0.497768,4015200,0.002232,0.497768,0.491071,0.482143,0,-0.000490387,0.002924014
1981,4,14,0.497768,0.497768,1663200,0.002232,0.497768,0.497768,0.491071,0,-0.000707812,0.002867362
1981,4,15,0.475446,0.473214,8512000,0.002232,0.497768,0.497768,0.497768,-0.049328201,-0.001363078,0.002684254
1981,4,16,0.448661,0.446429,5969600,0.002232,0.473214,0.497768,0.497768,-0.056602298,0.002093232,0.002336643
1981,4,20,0.459821,0.459821,8836800,0.002233,0.446429,0.473214,0.497768,0.029998051,0.005654423,0.002188237
1981,4,21,0.491071,0.491071,7134400,0.002233,0.459821,0.446429,0.473214,0.067961228,0.003375563,0.002188406
1981,4,22,0.508929,0.508929,4748800,0.002232,0.491071,0.459821,0.446429,0.036365414,0.001654467,0.002097745
1981,4,23,0.522321,0.522321,14504000,0.002233,0.508929,0.491071,0.459821,0.026314083,0.002649879,0.001932124
1981,4,24,0.522321,0.517857,8764000,0.004464,0.522321,0.508929,0.491071,-0.008546469,0.003579406,0.002397118
1981,4,27,0.515625,0.513393,9632000,0.002232,0.517857,0.522321,0.508929,-0.00862014,0.003796676,0.002999737
1981,4,28,0.506696,0.504464,8047200,0.002232,0.513393,0.517857,0.522321,-0.017392134,0.006873824,0.003602806
1981,4,29,0.5,0.497768,3410400,0.002232,0.504464,0.513393,0.517857,-0.013273494,0.007702021,0.004260396
1981,4,30,0.506696,0.506696,3152800,0.004465,0.497768,0.504464,0.513393,0.017936067,0.008514455,0.004794443
1981,5,1,0.506696,0.506696,4138400,0.004465,0.506696,0.497768,0.504464,0,0.007660357,0.005334326
1981,5,4,0.506696,0.504464,3612000,0.002232,0.506696,0.506696,0.497768,-0.004405008,0.005324317,0.006122324
1981,5,5,0.504464,0.502232,4384800,0.002232,0.504464,0.506696,0.506696,-0.004424498,0.005534079,0.006607758
1981,5,6,0.491071,0.488839,4737600,0.002232,0.502232,0.504464,0.506696,-0.026666959,0.006689616,0.006982021
1981,5,7,0.495536,0.495536,2340800,0.002232,0.488839,0.502232,0.504464,0.013699807,0.007218284,0.007413286
1981,5,8,0.5,0.5,1976800,0.002232,0.495536,0.488839,0.502232,0.009008427,0.004871978,0.007605618
1981,5,11,0.491071,0.488839,2984800,0.002232,0.5,0.495536,0.488839,-0.022322,0.00541883,0.007628841
1981,5,12,0.488839,0.488839,1064000,0.006697,0.488839,0.5,0.495536,0,0.007055468,0.007810506
1981,5,13,0.488839,0.486607,1226400,0.006697,0.488839,0.488839,0.5,-0.00456592,0.009134114,0.008101131
1981,5,14,0.484375,0.479911,1232000,0.004464,0.486607,0.488839,0.488839,-0.013760591,0.00880831,0.008152016
1981,5,15,0.491071,0.491071,1226400,0.006697,0.479911,0.486607,0.488839,0.023254312,0.009280437,0.007863559
1981,5,18,0.5,0.5,1041600,0.004464,0.491071,0.479911,0.486607,0.018182707,0.007253779,0.007275349
1981,5,19,0.493304,0.491071,6356000,0.002233,0.5,0.491071,0.479911,-0.017858,0.005638077,0.006625673
1981,5,20,0.506696,0.506696,3320800,0.004465,0.491071,0.5,0.491071,0.03181821,0.006297994,0.005941
1981,5,21,0.535714,0.535714,8052800,0.002232,0.506696,0.491071,0.5,0.057269053,0.003444154,0.005017007
1981,5,22,0.560268,0.560268,7856800,0.004464,0.535714,0.506696,0.491071,0.045834158,-0.001053961,0.004184223
1981,5,26,0.560268,0.558036,21336000,0.002232,0.560268,0.535714,0.506696,-0.003983808,-0.002419006,0.00374403
1981,5,27,0.589286,0.589286,37374400,0.002232,0.558036,0.560268,0.535714,0.055999971,-0.003434859,0.003342294
1981,5,28,0.589286,0.589286,18496800,0.002232,0.589286,0.558036,0.560268,0,-0.005070783,0.003017616
1981,5,29,0.591518,0.591518,14845600,0.002232,0.589286,0.589286,0.558036,0.003787635,-0.005676161,0.002876678
1981,6,1,0.591518,0.591518,12812800,0.002232,0.591518,0.589286,0.589286,0,-0.007491501,0.002722664
1981,6,2,0.564732,0.5625,10108000,0.002232,0.591518,0.591518,0.589286,-0.049056833,-0.011089345,0.002745676
1981,6,3,0.5625,0.5625,9861600,0.004464,0.5625,0.591518,0.591518,0,-0.009211254,0.003348536
1981,6,4,0.573661,0.573661,14016800,0.002232,0.5625,0.5625,0.591518,0.019841778,-0.009211254,0.003945327
1981,6,5,0.566964,0.564732,14420000,0.002232,0.573661,0.5625,0.5625,-0.015564942,-0.011774225,0.004376955
